Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,country
I don’t see it as relevant,Not relevant ,I informed my employer that I was very sick due to anxiety.  I was told not to let that interfere with my job.  I suffered stigma Andreas isolated and pushed to the side,I do have a supportive group of coworkers to talk to who support mental health. But not everyone u derstands or knows what to say ,I have a coworker who lives with bipolar disease.  Theylet me know when they are not having a good day.  They know it is ok with me,,,,"Since the industry is male dominated, there should be more talk to increase awareness and reduce stigma.  Offering peer support programs and role models would also help make the discussion ok","I saw people who were on “stress” leave ridiculed, or talked about as thought they were it feeling the truth, or just wanted time off",,dont see relevant,relevant,informed employer sick due anxiety told let interfere job suffered stigma andreas isolated pushed side,supportive group coworkers talk support mental health everyone u derstands know say,coworker life bipolar disease theylet know good day know ok,,,,since industry male dominated talk increase awareness reduce stigma offering peer support program role model would also help make discussion ok,saw people stress leave ridiculed talked thought feeling truth wanted time,,dont see relevant relevant informed employer sick due anxiety told let interfere job suffered stigma andreas isolated pushed side supportive group coworkers talk support mental health everyone u derstands know say coworker life bipolar disease theylet know good day know ok    since industry male dominated talk increase awareness reduce stigma offering peer support program role model would also help make discussion ok saw people stress leave ridiculed talked thought feeling truth wanted time ,0.6908,Positive,Canada
because why not,because i am at least 51% sure it would affect my chances of getting the job,,,,,,,"it's a comfort thing at this point imo, needs to be talked about so it doesn't feel weird to bring up issues",,,,least sure would affect chance getting job,,,,,,,comfort thing point imo need talked doesnt feel weird bring issue,,, least sure would affect chance getting job       comfort thing point imo need talked doesnt feel weird bring issue  ,0.4689,Positive,United States of America
I wouldn't bring it up unless it would potentially impact my ability to do the work or if I required special accommodations.,Mainly because I don't suffer from a mental health issue. I don't think I would bring it up if I did because I would believe it would be viewed negatively relative to their willingness to hire me.,,,"We had a coworker have a drastic turn in behavior over the course of two weeks. He was going through a potential divorce and the stress became unbearable. We had two concerns. First, what could we do to ensure he got the help he needed, and second, what did we have to do at the office to mitigate the reputational and other damage caused by him having a dramatic episode in the office. We did those things, he did get help, and took about a month leave of absence. Of course, we've seen issues ranging from work-related stress to difficult family circumstances, but nothing, in our minds, that rose to the level of intervention as was the case with the first employee.",,,,"If it is mentioned at all, it's during a meeting to go over benefits. The same was true with welness programs at all of my employers. It could be greatly improved by socializing the availability of benefits and resources throughout the year--especially around holidays when lots of folks struggle.",,"I thinka lot of people ""grin and bear it"". I've followed what OSMH has been doing with interest because it seems so obvious and so right. It also occurs to me that the stigma will take a generation to work through. It's going to be a long road to get from starting a conversation at work to acceptance.",wouldnt bring unless would potentially impact ability work required special accommodation,mainly dont suffer mental health issue dont think would bring would believe would viewed negatively relative willingness hire,,,coworker drastic turn behavior course two week going potential divorce stress became unbearable two concern first could ensure got help needed second office mitigate reputational damage caused dramatic episode office thing get help took month leave absence course weve seen issue ranging workrelated stress difficult family circumstance nothing mind rose level intervention case first employee,,,,mentioned meeting go benefit true welness program employer could greatly improved socializing availability benefit resource throughout yearespecially around holiday lot folk struggle,,thinka lot people grin bear ive followed osmh interest seems obvious right also occurs stigma take generation work going long road get starting conversation work acceptance,wouldnt bring unless would potentially impact ability work required special accommodation mainly dont suffer mental health issue dont think would bring would believe would viewed negatively relative willingness hire   coworker drastic turn behavior course two week going potential divorce stress became unbearable two concern first could ensure got help needed second office mitigate reputational damage caused dramatic episode office thing get help took month leave absence course weve seen issue ranging workrelated stress difficult family circumstance nothing mind rose level intervention case first employee    mentioned meeting go benefit true welness program employer could greatly improved socializing availability benefit resource throughout yearespecially around holiday lot folk struggle  thinka lot people grin bear ive followed osmh interest seems obvious right also occurs stigma take generation work going long road get starting conversation work acceptance,0.978,Positive,United States of America
,"They should know what I need and expect.  If they can't meet it, it's not a good fit.","""Hey, I have a lot of anxiety sometimes.""  ""Oh.  I know that feeling.  I had to go to the doctor years ago about it.  I'm better off now, but it sucked for a while.""",,,"""Hey, this is a lot of pressure you're putting on me.""  ""Pressure makes diamonds!""  This is a literal quote.",,,,,,,know need expect cant meet good fit,hey lot anxiety sometimes oh know feeling go doctor year ago im better sucked,,,hey lot pressure youre putting pressure make diamond literal quote,,,,,, know need expect cant meet good fit hey lot anxiety sometimes oh know feeling go doctor year ago im better sucked   hey lot pressure youre putting pressure make diamond literal quote     ,-0.7018,Negative,Norway
I like to be open and honest.  ,"Again, I like to be open and honest.",,,Co-worker suffers from depression; spoke about how it skews their perception and affects them at times.,,,,"Be aware that mental health issues exist, but that they do not necessarily define a person as a whole.  It is part of who they are, at least for a time.  Unlike ethnicity, race, skin color, etc, it may change in time.",,No,like open honest,like open honest,,,coworker suffers depression spoke skews perception affect time,,,,aware mental health issue exist necessarily define person whole part least time unlike ethnicity race skin color etc may change time,,,like open honest like open honest   coworker suffers depression spoke skews perception affect time    aware mental health issue exist necessarily define person whole part least time unlike ethnicity race skin color etc may change time  ,0.5859,Positive,United States of America
,I would be too afraid,,,,It went fine. The person I talked to (one of the directors) was very supportive.,,,,,,,would afraid,,,,went fine person talked one director supportive,,,,,, would afraid    went fine person talked one director supportive     ,0.4588,Positive,United States of America
I mentioned my seasonal allergies during the interview. I declined to answer when asked about why I was in the cancer department. Simply said the results were negative (they actually were but things appearing under your skin are *frightening*),"In the collective mind ""mental health issue""=""crazy freak who is just about to jump on me and rip my throat open with his teeth""","I told him how having people around in the open space often makes crying the only thing I am capable of when I come home. He answered that if I were working in the central office it would be much worse, I should happy to have a big salary and not ask any further to have a calm working environment.",,,,,,"They should show that normal people (engineers, accountants, secretaries, not executive) have mental health problem, are receiving non-invasive help and are functioning or getting better. But I would not accept to be the one to be shown. Isn't it ironic?",,"Never jail people in psy-hospitals against their will. I would have killed myself have I not found about Rosenhan's experiment. But now I am not certain I will ever get ""help"".",mentioned seasonal allergy interview declined answer asked cancer department simply said result negative actually thing appearing skin frightening,collective mind mental health issuecrazy freak jump rip throat open teeth,told people around open space often make cry thing capable come home answered working central office would much worse happy big salary ask calm working environment,,,,,,show normal people engineer accountant secretary executive mental health problem receiving noninvasive help functioning getting better would accept one shown isnt ironic,,never jail people psyhospitals would killed found rosenhans experiment certain ever get help,mentioned seasonal allergy interview declined answer asked cancer department simply said result negative actually thing appearing skin frightening collective mind mental health issuecrazy freak jump rip throat open teeth told people around open space often make cry thing capable come home answered working central office would much worse happy big salary ask calm working environment      show normal people engineer accountant secretary executive mental health problem receiving noninvasive help functioning getting better would accept one shown isnt ironic  never jail people psyhospitals would killed found rosenhans experiment certain ever get help,-0.8239,Negative,Finland
Excluded,Excluded,,,Overview,,,,Talk about it,Criticism,,excluded,excluded,,,overview,,,,talk,criticism,,excluded excluded   overview    talk criticism ,-0.7717,Negative,Poland
I have worked at the top of my field for two decades with my hidden physical disability. They don’t need to know. ,Judgement ,"Too long ago, don’t remember ","I asked first how they felt about mental health issues to gauge them. Then we talked about my issue, and his daughters. ",My boss (whom I previously disclosed an episode of depression with) asked me about medication side effects. ,,,,"Model it, talk about it. ",,,worked top field two decade hidden physical disability dont need know,judgement,long ago dont remember,asked first felt mental health issue gauge talked issue daughter,bos previously disclosed episode depression asked medication side effect,,,,model talk,,,worked top field two decade hidden physical disability dont need know judgement long ago dont remember asked first felt mental health issue gauge talked issue daughter bos previously disclosed episode depression asked medication side effect    model talk  ,-0.4404,Negative,Russia
"It is normal/ordinary to talk about physical health issues, so, no problem here.","Mental health issues are some kind of stigma, discussing it can close doors. I wanna fight for that, but currently I would not bring this to the table during a interview.",,,,,We mostly talked about how my anxiety/depression affected me and my work.,,"We need a safe space to discuss it, we cannot be afraid of openly talk about. We are only allowed to talk about mental health to psychologists and psychiatrists, even discussing it with family is not as open as it should be.",,,normalordinary talk physical health issue problem,mental health issue kind stigma discussing close door wan na fight currently would bring table interview,,,,,mostly talked anxietydepression affected work,,need safe space discus afraid openly talk allowed talk mental health psychologist psychiatrist even discussing family open,,,normalordinary talk physical health issue problem mental health issue kind stigma discussing close door wan na fight currently would bring table interview     mostly talked anxietydepression affected work  need safe space discus afraid openly talk allowed talk mental health psychologist psychiatrist even discussing family open  ,0.1027,Positive,United States of America
I have currently & in the past been comfortable working around a chronic illness. I want to know that the flexibility I need is available.,I do not have a mental health issue.,,,,,,,Stop encouraging 'crunch' mentality & incentivising extreme overtime & neglect of vacation time.,,,currently past comfortable working around chronic illness want know flexibility need available,mental health issue,,,,,,,stop encouraging crunch mentality incentivising extreme overtime neglect vacation time,,,currently past comfortable working around chronic illness want know flexibility need available mental health issue       stop encouraging crunch mentality incentivising extreme overtime neglect vacation time  ,0.3612,Positive,United States of America
"Physical health issues have no real effect on the work as a software developer, so I would not be scared that it'd affect their judgement. ","I'd be scared to be treated differently. Either that they'd think I am not able to deal with the work, or that they'd prefer me over other more suitable candidates. ",,,A colleague openly said he was diagnosed with severe depression. There was no actual conversation about the disorder itself though. ,,,,"Make sure that talking openly about it has no negative effect on the work, applications and the likes. ",,I want to thank you wholeheartedly for the work you have been doing and hope that your work will help many people all over the work. Thank you! ,physical health issue real effect work software developer would scared itd affect judgement,id scared treated differently either theyd think able deal work theyd prefer suitable candidate,,,colleague openly said diagnosed severe depression actual conversation disorder though,,,,make sure talking openly negative effect work application like,,want thank wholeheartedly work hope work help many people work thank,physical health issue real effect work software developer would scared itd affect judgement id scared treated differently either theyd think able deal work theyd prefer suitable candidate   colleague openly said diagnosed severe depression actual conversation disorder though    make sure talking openly negative effect work application like  want thank wholeheartedly work hope work help many people work thank,-0.5859,Negative,Germany
