Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,What country do you *work* in?
It depend on if the discussion would have an impact on my employment,Same reason. But I believe this would have a greater impact in employment,,,,,,,,,,depend discussion would impact employment,reason believe would greater impact employment,,,,,,,,,,depend discussion would impact employment reason believe would greater impact employment         ,0.3612,Positive,United States of America
It affects my employment or job,It affects my job,,,,,,,They should understand and we should talk openely,"Some times with my boss, he will response properly it affects work and my  mental state.",mental health should be a law by government.,affect employment job,affect job,,,,,,,understand talk openely,time bos response properly affect work mental state,mental health law government,affect employment job affect job       understand talk openely time bos response properly affect work mental state mental health law government,0,Neutral,Russia
it will affect another person,it will affect my personality to the other person,,,,,,,behaving well with them and give them a good time for there task to complete. give them time to complete the task.,taking less to that person or ignorance,no,affect another person,affect personality person,,,,,,,behaving well give good time task complete give time complete task,taking less person ignorance,,affect another person affect personality person       behaving well give good time task complete give time complete task taking less person ignorance ,0.4173,Positive,India
gryry,ytuu,,,,,,,thyt,thyu,ryry,gryry,ytuu,,,,,,,thyt,thyu,ryry,gryry ytuu       thyt thyu ryry,0,Neutral,Canada
Physical disabilities are understood well and protected.,While legally mental issues are protected I would be much more concerned about not getting a job because of a disclosure of mental illness. It's very hard to prove discrimination.,,,,,Mostly they have been supportive. I've also discussed other's mental health issues and have tried to be supportive as I can be.,I had an individual that worked with me who confided that he was struggling with his medication and mental health I tried to be supportive and encouraged him to take the time he needed. While on vacation he was let go without my approval (normally I would have had to approve this) which was very difficult for me and the coworker.,"Mental health counseling should be provided as a default part of all employment, not just provided as an option.",My friend who was fired because of a mental health induced outburst.,,physical disability understood well protected,legally mental issue protected would much concerned getting job disclosure mental illness hard prove discrimination,,,,,mostly supportive ive also discussed others mental health issue tried supportive,individual worked confided struggling medication mental health tried supportive encouraged take time needed vacation let go without approval normally would approve difficult coworker,mental health counseling provided default part employment provided option,friend fired mental health induced outburst,,physical disability understood well protected legally mental issue protected would much concerned getting job disclosure mental illness hard prove discrimination     mostly supportive ive also discussed others mental health issue tried supportive individual worked confided struggling medication mental health tried supportive encouraged take time needed vacation let go without approval normally would approve difficult coworker mental health counseling provided default part employment provided option friend fired mental health induced outburst ,0.6182,Positive,Canada
for taking leave,will impact my impression,,,,,,,"need to consider individual circumstances like age , family structure when pressurizing for deadlines.",,"family background, and personal responsibilites",taking leave,impact impression,,,,,,,need consider individual circumstance like age family structure pressurizing deadline,,family background personal responsibilites,taking leave impact impression       need consider individual circumstance like age family structure pressurizing deadline  family background personal responsibilites,0.4588,Positive,United States of America
,Because I do not want the other side to get wrong thoughts. I do not think that people with mental health disorders are well cared for in the world.,,,,,,,The workload on the employees should not be too much. Daily working hours should not be fixed and flexible working hours should be applied. Mobbing should not be applied on employees. Social activities should be organized. Every employee manager should receive sincere well done.,,,,want side get wrong thought think people mental health disorder well cared world,,,,,,,workload employee much daily working hour fixed flexible working hour applied mobbing applied employee social activity organized every employee manager receive sincere well done,,, want side get wrong thought think people mental health disorder well cared world       workload employee much daily working hour fixed flexible working hour applied mobbing applied employee social activity organized every employee manager receive sincere well done  ,0.6249,Positive,Afghanistan
I don't want it to become my defining feature.,No. Stigma and will be seen as a problem employee.,,,,I was very overwhelmed and my manager listened.,,Co-workers tend to overshare.,openness,,no,dont want become defining feature,stigma seen problem employee,,,,overwhelmed manager listened,,coworkers tend overshare,openness,,,dont want become defining feature stigma seen problem employee    overwhelmed manager listened  coworkers tend overshare openness  ,-0.0829,Negative,United States of America
Disclosing a physical health issue would harm my chances of getting a job due to competition.,Disclosing a mental health issue would certainly harm my chances of being hired for a competitive job. Some jobs forbid certain medications (e.g. special driving permits and license classifications).,,,,,,"They sometimes ascribed work issues and failures to their depression, ADHD, or medication side effects. One disclosed a condition just prior to separating from our employer.","Frequently announce or discuss a positive, practical, and very (extremely) rational viewpoint and ""framework"" for conceptualizing and identifying mental health issues, and adopt and publicize a very (explicitly) rational, believable system for handling screening and treatment referrals along with evidence of good protection of confidentiality and successful work accommodations or other positive dispositions.",,The society of tech workers contains well-entrenched cultures of denial of the value of mental health awareness and treatment that must be addressed. Some of these cultures are truly destructive and violent. Some are even encouraged by business and political actors.,disclosing physical health issue would harm chance getting job due competition,disclosing mental health issue would certainly harm chance hired competitive job job forbid certain medication eg special driving permit license classification,,,,,,sometimes ascribed work issue failure depression adhd medication side effect one disclosed condition prior separating employer,frequently announce discus positive practical extremely rational viewpoint framework conceptualizing identifying mental health issue adopt publicize explicitly rational believable system handling screening treatment referral along evidence good protection confidentiality successful work accommodation positive disposition,,society tech worker contains wellentrenched culture denial value mental health awareness treatment must addressed culture truly destructive violent even encouraged business political actor,disclosing physical health issue would harm chance getting job due competition disclosing mental health issue would certainly harm chance hired competitive job job forbid certain medication eg special driving permit license classification      sometimes ascribed work issue failure depression adhd medication side effect one disclosed condition prior separating employer frequently announce discus positive practical extremely rational viewpoint framework conceptualizing identifying mental health issue adopt publicize explicitly rational believable system handling screening treatment referral along evidence good protection confidentiality successful work accommodation positive disposition  society tech worker contains wellentrenched culture denial value mental health awareness treatment must addressed culture truly destructive violent even encouraged business political actor,0.7964,Positive,Ireland
I would need accomodation or flex time/work from home.,Not applicable. Also worried about not being hired.,,,,,,"Informed about depression and ADD, and treatments they had.",Increase paid benefits. Remove stigma.,,,would need accomodation flex timework home,applicable also worried hired,,,,,,informed depression add treatment,increase paid benefit remove stigma,,,would need accomodation flex timework home applicable also worried hired      informed depression add treatment increase paid benefit remove stigma  ,-0.1531,Negative,Turkey
